詳細,発句（俳句）,読み,季題１,出典
218,春立やかゝる小薮もうぐひすと,はるたつや　かかるこやぶも　うぐいすと,1新年,文化句帖
219,春立といふより見ゆる壁の穴,はるたつと　いうよりみゆる　かべのあな,1新年,文化句帖
220,春立と狙も袖口見ゆる也,はるたつと　さるもそでぐち　みゆるなり,1新年,文化句帖
221,春立や我家の空もなつかしき,はるたつや　わがやのそらも　なつかしき,1新年,文化句帖
222,門～の下駄の泥より春立ぬ,かどかどの　げたのどろより　はるたちぬ,1新年,七番日記
223,春立と申（す）もいかゞ上野山,はるたつと　もうすもいかが　うえのやま,1新年,七番日記
224,春立や夢に見てさへ小松原,はるたつや　ゆめにみてさえ　こまつばら,1新年,七番日記
225,春立や菰もかぶらず五十年,はるたつや　こももかぶらず　ごじゅうねん,1新年,七番日記
226,春立や先人間の五十年,はるたつや　さきにんげんの　ごじゅうねん,1新年,七番日記
227,春立やみろく十年辰の年,はるたつや　みろくじゅうねん　たつのとし,1新年,七番日記
228,春立つや牛にも馬にもふまれずに,はるたつや　うしにもうまにも　ふまれずに,1新年,七番日記
229,足元に鳥が立也春も立,あしもとに　とりがたつなり　はるもたつ,1新年,七番日記
230,春立や弥太郎改（め）一茶坊,はるたつや　やたろうあらため　いっさぼう,1新年,七番日記
231,春立や弥太郎改（め）はいかい寺,はるたつや　やたろうあらため　はいかいじ,1新年,八番日記
232,春もはや立ぞ一ヒ二フ三ケの月,はるもはや　たつぞひひふふ　みかのつき,1新年,七番日記
233,春たちて磯菜も千代のためし哉,はるたちて　いそなもちよの　ためしかな,1新年,八番日記
234,春たちて磯菜の千代のためし哉,はるたちて　いそなのちよの　ためしかな,1新年,梅塵八番
235,春立や二軒つなぎの片住居,はるたつや　にけんつなぎの　かたずまい,1新年,八番日記
236,春立や庵の鬼門の一り塚,はるたつや　いおのきもんの　いちりづか,1新年,八番日記
237,春立や切口上の門雀,はるたつや　きりこうじょうの　かどすずめ,1新年,八番日記
238,ろくな(春)立にけらしな門の雪,ろくなはる　たちにけらしな　かどのゆき,1新年,文政句帖
239,春立や愚の上に又愚にかへる,はるたつや　ぐのうえにまた　ぐにかえる,1新年,文政句帖
240,春立や愚の上を又愚にかへる,はるたつや　ぐのうえをまた　ぐにかえる,1新年,自筆本
241,春立や米の山なるひとつ松,はるたつや　こめのやまなる　ひとつまつ,1新年,文政句帖
242,はる立や門の雀もまめなかほ,はるたつや　かどのすずめも　まめなかほ,1新年,発句鈔追加
243,葎家も春になりけり夜(の)雨,むぐらやも　はるになりけり　よるのあめ,1新年,文化句帖
244,うつくしき春に成しけり夜の雨,うつくしき　はるになしけり　よるのあめ,1新年,七番日記
245,あつさりと春は来にけり浅黄空,あっさりと　はるはきにけり　あさぎぞら,1新年,七番日記
246,御傘めす月から春は来たりけり,おかさめす　つきからはるは　きたりけり,1新年,七番日記
247,湯けぶりも月夜の春となりにけり,ゆけぶりも　つきよのはると　なりにけり,1新年,七番日記
248,ひへ餅にあんきな春が来たりけり,ひえもちに　あんきなはるが　きたりけり,1新年,七番日記
249,今春が来たよふす也たばこ盆,いまはるが　きたようすなり　たばこぼん,1新年,八番日記
250,さればこそろくな春なれ門の雪,さればこそ　ろくなはるなれ　かどのゆき,1新年,文政句帖
251,まんろくの春こそ来れ門の雪,まんろくの　はるこそきたれ　かどのゆき,1新年,文政句帖
252,まん六の春と成りけり門の雪,まんろくの　はるとなりけり　かどのゆき,1新年,文政句帖
253,ろくな春とはなりけり門の雪,ろくなはる　とはなりけり　かどのゆき,1新年,文政句帖
254,草の戸やどの穴からも春の来る,くさのとや　どのあなからも　はるのくる,1新年,発句集続篇
255,春来ても別条のなき草家かな,はるきても　べつじょうのなき　くさやかな,1新年,真蹟
256,召仕新しき哉小正月,めしつかい　あたらしきかな　こしょうがつ,1新年,西国紀行
257,鶏鐘の鳴りしづまつて初日哉,とりがねの　なりしずまって　はつひかな,1新年,辛亥遍覧
258,松竹の行合の間より初日哉,まつたけの　ゆきあいのまより　はつひかな,1新年,寛政句帖
259,中々にかざらぬ松の初日哉,なかなかに　かざらぬまつの　はつひかな,1新年,其日庵歳旦
260,首上て亀も待たる初日哉,くびあげて　かめもまちたる　はつひかな,1新年,享和句帖
261,我々が顔も初日や御代の松,われわれが　かおもはつひや　みよのまつ,1新年,享和句帖
262,上段の代の初日哉旅の家,じょうだんの　だいのはつひかな　たびのいえ,1新年,文化句帖
263,上段の代の先あふ初日哉,じょうだんの　だいのまづあう　はつひかな,1新年,文化句帖
264,みいらともなりたがりてやはつ日の出,みいらとも　なりたがりてや　はつひので,1新年,七番日記
265,朝雫皺手につたふ初日哉,あさしずく　しわてにつたう　はつひかな,1新年,七番日記
266,内中にてら～鍬の初日哉,うちじゅうに　てらてらくわの　はつひかな,1新年,七番日記
267,家内中てら～鍬の初日哉,かないじゅう　てらてらくわの　はつひかな,1新年,浅黄空
268,家内にてら～鍬の初日哉,いえうちに　てらてらくわの　はつひかな,1新年,自筆本
269,隠家は昼時分さす初日哉,かくれがは　ひるじぶんさす　はつひかな,1新年,七番日記
270,はつ旭鍬も拝（ま）れ給ひけり,はつあさひ　くわもおがまれ　たまいけり,1新年,七番日記
271,土蔵からすじかいにさすはつ日哉,どぞうから　すじかいにさす　はつひかな,1新年,八番日記
272,ぬかるみに?つつ張てはつ日哉,ぬかるみに　つえつっぱりて　はつひかな,1新年,八番日記
273,ぬかるみに杖突張てはつ日哉,ぬかるみに　つえつっぱって　はつひかな,1新年,梅塵八番
274,心から大きく見ゆる初日哉,こころから　おおきくみゆる　はつひかな,1新年,八番日記
275,神とおもふかたより三輪の日の出哉,かみとおもう　かたよりみわの　ひのでかな,1新年,遺稿
276,よその蔵からすじかひに初日哉,よそのくら　からすじかいに　はつひかな,1新年,浅黄空
277,壁の穴や我初空もうつくしき,かべのあなや　わがはつぞらも　うつくしき,1新年,七番日記
278,節穴や我初空もうつくしき,ふしあなや　わがはつぞらも　うつくしき,1新年,我春集
279,初空へさし出す獅子の首哉,はつぞらへ　さしだすししの　かしらかな,1新年,七番日記
280,初空へさし出す獅子のあたま哉,はつぞらへ　さしだすししの　あたまかな,1新年,我春集他
281,初空を拵へているけぶり哉,はつぞらを　こしらえている　けぶりかな,1新年,七番日記
